,index,index_old,text
0,0,2994,"another black man? What does that have to do with anything? Once a monkey, always a monkey, Chicago idiot"
1,1,3913,ratchet white trash
2,2,4382,"I said something to you gorilla, stop listening to monkey music"
3,3,5213,mannn Mexicans in Houston LOVE their high school freshman hoes
4,4,6037,the worst terrorists are republican teabaggers...
5,5,7699,Am sorry I can't stand stand some black females especially the full breaded Africans bitches being have std and shit I prefer white girls
6,6,7809,Aren't these little border jumpers supposed to be in school
7,7,9064,"Fat hoes on Twitter calling themselves Barbies, bitch you ain't no damn Barbie you a damn care bear."
8,8,9093,"Fighting on the Internet is like competing in the special Olympics, even if you win, you're still retarded."
9,9,22967,"Women want a Best Man Holiday type of nigga meanwhile you have mad THOT pics on ya gram talking about ""this could be us"" bitch die"
10,10,60c5d6bf5659ea5e55defbed,Bitch i hope you also go through the pain we Indian are going through i hope every Chinese feel that pain that they bloody have created
11,11,60c5d6bf5659ea5e55def51c,this John Cena we are talking about he will try and be nice anywhere he goes it is not his fault for China and Taiwan being shitty countries damn I swear you bloody Americans bitch about someone for not doing things you want them to do let them live their lives damn
12,12,60c5d6bf5659ea5e55defd2b,"Youre either incapable of or unwilling to read. Acknowledging that something isnt true isnt defending. And as much as I hate white people I still have no interest in spreading misinformation. Theres enough true, awful YT nonsens"
